HOOD_158,NEIGHBOURHOOD_158,POPULATION,ONE_PARENT_FAMILY_RATIO,PART_TIME_WORKER_PERCENTAGE,ABOVE_POSTSECONDARY_PERCENTAGE,MEDIAN_HOUSEHOLD_INCOME
1,West Humber-Clairville,33690,658,0.479,0.598,102500.5
2,Mount Olive-Silverstone-Jamestown,31421,658,0.611,0.4355,54350
3,Thistletown-Beaumond Heights,10005,450,0.479,0.598,102500.5
4,Rexdale-Kipling,10378,200,0.479,0.4355,54350
5,Elms-Old Rexdale,9366,315,0.43,0.598,78750.5
6,Kingsview Village-The Westway,22026,200,0.5285,0.6955,78750.5
7,Willowridge-Martingrove-Richview,22456,72,0.43,0.7865,78750.5
8,Humber Heights-Westmount,10427,72,0.43,0.6955,54350
9,Edenbridge-Humber Valley,15480,200,0.479,0.7865,149500.5
10,Princess-Rosethorn,11177,200,0.479,0.8846,232000.5
11,Eringate-Centennial-West Deane,18501,315,0.479,0.7865,102500.5
12,Markland Wood,10559,315,0.351,0.7865,102500.5
13,Etobicoke West Mall,12218,450,0.479,0.6955,78750.5
15,Kingsway South,8935,72,0.43,0.8846,232000.5
16,Stonegate-Queensway,25745,72,0.351,0.7865,149500.5
18,New Toronto,11502,315,0.479,0.6955,78750.5
19,Long Branch,11400,315,0.351,0.7865,78750.5
20,Alderwood,12596,315,0.43,0.6955,102500.5
21,Humber Summit,12194,450,0.611,0.4355,78750.5
22,Humbermede,16959,450,0.5285,0.4355,102500.5
23,Pelmo Park-Humberlea,11396,450,0.43,0.598,102500.5
24,Black Creek,21307,315,0.611,0.4355,78750.5
25,Glenfield-Jane Heights,30197,315,0.5285,0.4355,54350
27,York University Heights,28557,315,0.479,0.6955,54350
28,Rustic,9543,450,0.5285,0.4355,54350
29,Maple Leaf,10040,450,0.5285,0.598,78750.5
30,Brookhaven-Amesbury,17541,658,0.5285,0.4355,54350
31,Yorkdale-Glen Park,17043,450,0.43,0.6955,78750.5
32,Englemount-Lawrence,21455,315,0.611,0.7865,102500.5
33,Clanton Park,17673,658,0.43,0.7865,78750.5
34,Bathurst Manor,16176,200,0.43,0.6955,102500.5
35,Westminster-Branson,26027,450,0.479,0.6955,78750.5
36,Newtonbrook West,23978,200,0.479,0.7865,78750.5
37,Willowdale West,17210,200,0.479,0.8846,102500.5
38,Lansing-Westgate,15980,315,0.43,0.7865,102500.5
39,Bedford Park-Nortown,22376,200,0.43,0.8846,149500.5
40,St.Andrew-Windfields,17005,200,0.479,0.8846,149500.5
41,Bridle Path-Sunnybrook-York Mills,9909,72,0.43,0.8846,232000.5
42,Banbury-Don Mills,27472,200,0.43,0.7865,102500.5
43,Victoria Village,17647,450,0.5285,0.598,54350
44,Flemingdon Park,22553,315,0.5285,0.6955,78750.5
46,Pleasant View,15248,315,0.5285,0.7865,102500.5
47,Don Valley Village,26972,200,0.479,0.8846,102500.5
48,Hillcrest Village,16374,450,0.5285,0.7865,102500.5
49,Bayview Woods-Steeles,12499,200,0.479,0.7865,102500.5
50,Newtonbrook East,15996,200,0.479,0.7865,102500.5
52,Bayview Village,22617,315,0.479,0.8846,149500.5
53,Henry Farm,19953,200,0.43,0.8846,78750.5
54,O'Connor-Parkview,18746,315,0.5285,0.6955,78750.5
55,Thorncliffe Park,20637,315,0.43,0.7865,78750.5
56,Leaside-Bennington,16710,72,0.479,0.8846,149500.5
57,Broadview North,11080,72,0.479,0.6955,149500.5
58,Old East York,9175,200,0.43,0.7865,102500.5
59,Danforth East York,17073,72,0.351,0.7865,102500.5
60,Woodbine-Lumsden,7928,200,0.351,0.6955,78750.5
61,Taylor-Massey,15050,450,0.5285,0.6955,54350
62,East End-Danforth,22055,315,0.351,0.7865,102500.5
63,The Beaches,21602,72,0.351,0.8846,149500.5
64,Woodbine Corridor,12283,200,0.351,0.7865,102500.5
65,Greenwood-Coxwell,14146,200,0.43,0.6955,102500.5
66,Danforth,9364,315,0.479,0.7865,102500.5
67,Playter Estates-Danforth,7712,200,0.479,0.8846,78750.5
68,North Riverdale,11491,72,0.43,0.8846,102500.5
69,Blake-Jones,7494,450,0.43,0.7865,102500.5
70,South Riverdale,28264,72,0.43,0.7865,102500.5
71,Cabbagetown-South St.James Town,11205,72,0.5285,0.8846,54350
72,Regent Park,12797,450,0.351,0.6955,54350
73,Moss Park,22701,315,0.351,0.8846,54350
74,North St.James Town,18733,72,0.611,0.8846,54350
78,Kensington-Chinatown,7595,200,0.5285,0.8846,54350
79,University,18597,72,0.5285,0.7865,54350
80,Palmerston-Little Italy,13171,200,0.479,0.7865,102500.5
81,Trinity-Bellwoods,15691,200,0.479,0.6955,102500.5
83,Dufferin Grove,11276,200,0.5285,0.6955,54350
84,Little Portugal,15669,200,0.43,0.598,102500.5
85,South Parkdale,21663,72,0.5285,0.6955,54350
86,Roncesvalles,14725,200,0.43,0.7865,102500.5
87,High Park-Swansea,22970,72,0.351,0.8846,102500.5
88,High Park North,22162,200,0.351,0.8846,78750.5
89,Runnymede-Bloor West Village,10129,200,0.351,0.7865,149500.5
90,Junction Area,14205,200,0.43,0.4355,102500.5
91,Weston-Pelham Park,10680,200,0.43,0.4355,102500.5
92,Corso Italia-Davenport,13215,315,0.5285,0.6955,102500.5
94,Wychwood,13828,200,0.479,0.7865,102500.5
95,Annex,30705,72,0.479,0.8846,102500.5
96,Casa Loma,11369,72,0.43,0.8846,102500.5
97,Yonge-St.Clair,13177,200,0.351,0.8846,102500.5
98,Rosedale-Moore Park,20268,72,0.43,0.8846,232000.5
99,Mount Pleasant East,16373,200,0.351,0.8846,149500.5
100,Yonge-Eglinton,12424,200,0.43,0.8846,78750.5
101,Forest Hill South,11059,72,0.479,0.8846,232000.5
102,Forest Hill North,12432,200,0.479,0.7865,102500.5
103,Lawrence Park South,15018,200,0.43,0.8846,232000.5
105,Lawrence Park North,14735,72,0.351,0.8846,149500.5
106,Humewood-Cedarvale,13978,200,0.479,0.7865,102500.5
107,Oakwood Village,20830,315,0.479,0.6955,102500.5
108,Briar Hill-Belgravia,14590,315,0.479,0.598,78750.5
109,Caledonia-Fairbank,10037,450,0.479,0.4355,102500.5
110,Keelesdale-Eglinton West,11407,450,0.479,0.4355,54350
111,Rockcliffe-Smythe,22242,450,0.479,0.4355,54350
112,Beechborough-Greenbrook,6419,658,0.5285,0.4355,54350
113,Weston,18896,658,0.43,0.4355,54350
114,Lambton Baby Point,7966,315,0.5285,0.8846,149500.5
115,Mount Dennis,13364,658,0.479,0.4355,54350
116,Steeles,22943,315,0.611,0.598,78750.5
118,Tam O'Shanter-Sullivan,27526,200,0.5285,0.6955,102500.5
119,Wexford/Maryvale,28591,72,0.479,0.598,102500.5
120,Clairlea-Birchmount,27690,200,0.351,0.7865,102500.5
121,Oakridge,13913,315,0.351,0.6955,54350
122,Birchcliffe-Cliffside,23115,315,0.43,0.7865,102500.5
123,Cliffcrest,16184,315,0.479,0.7865,102500.5
124,Kennedy Park,17156,315,0.611,0.598,102500.5
125,Ionview,13382,315,0.479,0.598,102500.5
126,Dorset Park,24770,450,0.479,0.598,102500.5
128,Agincourt South-Malvern West,24438,315,0.611,0.598,102500.5
129,Agincourt North,27790,315,0.611,0.598,102500.5
130,Milliken,24431,200,0.5285,0.4355,102500.5
133,Centennial Scarborough,13453,200,0.43,0.7865,149500.5
134,Highland Creek,12678,315,0.479,0.6955,149500.5
135,Morningside,17708,315,0.5285,0.6955,102500.5
136,West Hill,28414,315,0.5285,0.7865,54350
138,Eglinton East,22820,315,0.479,0.598,54350
139,Scarborough Village,16774,315,0.5285,0.598,54350
140,Guildwood,9797,450,0.43,0.7865,102500.5
141,Golfdale-Cedarbrae-Woburn,27045,315,0.5285,0.6955,102500.5
142,Woburn North,27046,315,0.479,0.6955,78750.5
143,West Rouge,22200,200,0.43,0.8846,232000.5
144,Morningside Heights,23887,315,0.479,0.598,102500.5
145,Malvern West,21733,315,0.5285,0.598,102500.5
146,Malvern East,21734,315,0.479,0.598,102500.5
147,L'Amoreaux West,21554,315,0.611,0.6955,78750.5
148,East L'Amoreaux,21554,315,0.611,0.598,78750.5
149,Parkwoods-O'Connor Hills,17279,315,0.479,0.8846,102500.5
150,Fenside-Parkwoods,17279,450,0.43,0.7865,102500.5
151,Yonge-Doris,16538,200,0.43,0.8846,102500.5
152,East Willowdale,16538,315,0.5285,0.8846,102500.5
153,Avondale,16538,72,0.479,0.8846,149500.5
154,Oakdale-Beverley Heights,19720,315,0.5285,0.4355,78750.5
155,Downsview,19720,72,0.351,0.8846,102500.5
156,Bendale-Glen Andrew,30019,450,0.479,0.598,102500.5
157,Bendale South,22820,315,0.5285,0.6955,102500.5
158,Islington,23757,72,0.43,0.7865,102500.5
159,Etobicoke City Centre,23757,200,0.351,0.7865,102500.5
160,Mimico-Queensway,30630,72,0.351,0.6955,149500.5
161,Humber Bay Shores,10210,72,0.351,0.7865,102500.5
162,West Queen West,16835,200,0.611,0.7865,54350
163,Fort York-Liberty Village,16835,315,0.351,0.8846,102500.5
164,Wellington Place,28430,72,0.351,0.8846,102500.5
165,Harbourfront-CityPlace,28430,315,0.351,0.8846,102500.5
166,St Lawrence-East Bayfront-The Islands,28430,72,0.351,0.8846,102500.5
167,Church-Wellesley,20333,72,0.479,0.7865,54350
168,Downtown Yonge East,20333,450,0.43,0.8846,54350
169,Bay-Cloverhill,15239,200,0.5285,0.8846,102500.5
170,Yonge-Bay Corridor,15240,200,0.43,0.8846,102500.5
171,Junction-Wallace Emerson,17931,72,0.5285,0.6955,102500.5
172,Dovercourt Village,17931,72,0.5285,0.6955,78750.5
173,North Toronto,19693,315,0.479,0.8846,149500.5
174,South Eglinton-Davisville,19694,450,0.351,0.8846,149500.5